"1616109755000.jpg" :{"time" :1616109755000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109756000.jpg" :{"time" :1616109756000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109757000.jpg" :{"time" :1616109757000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109758000.jpg" :{"time" :1616109758000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109759000.jpg" :{"time" :1616109759000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109760000.jpg" :{"time" :1616109760000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109761000.jpg" :{"time" :1616109761000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109762000.jpg" :{"time" :1616109762000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109763000.jpg" :{"time" :1616109763000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109764000.jpg" :{"time" :1616109764000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109765000.jpg" :{"time" :1616109765000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109766000.jpg" :{"time" :1616109766000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
